KOKUGO_G1_U01	ひらがな	「あさ」の はじめの もじは？ || 「いぬ」の はじめの もじは？ || 「うみ」の はじめの もじは？ || 「えき」の はじめの もじは？ || 「おに」の はじめの もじは？
KOKUGO_G7_U01	物語文の読み取り	小説1の中心人物は？ || 小説1の心情を示す表現は？ || 小説1の人物の変化は？ || 小説1の転機は？ || 小説1の主題は？
KOKUGO_G7_U02	説明文の読み取り	説明「情報の信頼性は、内容だけでなく発信者、日時、根拠から判断する必要がある。特に災害時は古い情報の再拡散が安全な行動を妨げるため、公的情報との照合が欠かせない。」の話題は？ || 説明「情報の信頼性は、内容だけでなく発信者、日時、根拠から判断する必要がある。特に災害時は古い情報の再拡散が安全な行動を妨げるため、公的情報との照合が欠かせない。」の筆者の主張は？ || 主張「発信者・日時・根拠を確認し公的情報と照合すべきだ」を支える事実は？ || 説明「情報の信頼性は、内容だけでなく発信者、日時、根拠から判断する必要がある。特に災害時は古い情報の再拡散が安全な行動を妨げるため、公的情報との照合が欠かせない。」で示された理由は？ || 説明「情報の信頼性は、内容だけでなく発信者、日時、根拠から判断する必要がある。特に災害時は古い情報の再拡散が安全な行動を妨げるため、公的情報との照合が欠かせない。」の構成は？
KOKUGO_G7_U03	詩の読み取り	詩「朝の窓／まだ名のない光が／机の角を／そっと起こす」が描く情景は？ || 詩「朝の窓／まだ名のない光が／机の角を／そっと起こす」で使われた表現技法は？ || 詩「朝の窓／まだ名のない光が／机の角を／そっと起こす」の表現効果は？ || 詩「朝の窓／まだ名のない光が／机の角を／そっと起こす」に合う題名は？ || 詩「朝の窓／まだ名のない光が／机の角を／そっと起こす」から受ける調子は？
KOKUGO_G7_U04	古典（古文の基礎）	古文「春はあけぼの。やうやう白くなりゆく山ぎは。」の現代語訳は？ || 古文「春はあけぼの。やうやう白くなりゆく山ぎは。」の重要語句は？ || 古文「春はあけぼの。やうやう白くなりゆく山ぎは。」の表現上の特徴は？ || 「春はあけぼの。やうやう白くなりゆく山ぎは。」の出典は？ || 古文「春はあけぼの。やうやう白くなりゆく山ぎは。」を音読する時に大切なことは？
KOKUGO_G7_U05	漢文の基礎	漢文「温故而知新」の書き下し文は？ || 「故きを温ねて新しきを知る」の意味は？ || 漢文「温故而知新」の訓読上の要点は？ || 漢文「温故而知新」から得られる教訓は？ || 漢文「温故而知新」を読む時に使うものは？
KOKUGO_G7_U06	文の成分（主語・述語など）	文「静かな風が木の葉を揺らす。」の主語は？ || 文「静かな風が木の葉を揺らす。」の述語は？ || 文「静かな風が木の葉を揺らす。」で修飾する部分は？ || 文「静かな風が木の葉を揺らす。」の主語が省略されている場合、どう判断する？ || 文「静かな風が木の葉を揺らす。」の組み立てを捉える基本は？
KOKUGO_G7_U07	品詞	文「静かな風が木の葉を揺らす。」に含まれる名詞は？ || 文「静かな風が木の葉を揺らす。」に含まれる動詞は？ || 文「静かな風が木の葉を揺らす。」で活用する語を見分ける方法は？ || 文「静かな風が木の葉を揺らす。」を単語に分ける時の注意は？ || 品詞を学ぶと文「静かな風が木の葉を揺らす。」の何が分かる？
KOKUGO_G7_U08	漢字の読み書き	「概念」の読みは？ || 「概念」の意味は？ || 「概念」を正しく使った文は？ || 「概念」と意味が近い語は？ || 「概念」を文章で使う時に大切なことは？
KOKUGO_G7_U09	要約	文章「情報の信頼性は、内容だけでなく発信者、日時、根拠から判断する必要がある。特に災害時は古い情報の再拡散が安全な行動を妨げるため、公的情報との照合が欠かせない。」の要旨は？ || 文章「情報の信頼性は、内容だけでなく発信者、日時、根拠から判断する必要がある。特に災害時は古い情報の再拡散が安全な行動を妨げるため、公的情報との照合が欠かせない。」の要約で残す事実は？ || 要旨「発信者・日時・根拠を確認し公的情報と照合すべきだ」を支える理由は？ || 文章「情報の信頼性は、内容だけでなく発信者、日時、根拠から判断する必要がある。特に災害時は古い情報の再拡散が安全な行動を妨げるため、公的情報との照合が欠かせない。」の要約で構成をどう生かす？ || 文章「情報の信頼性は、内容だけでなく発信者、日時、根拠から判断する必要がある。特に災害時は古い情報の再拡散が安全な行動を妨げるため、公的情報との照合が欠かせない。」を要約する条件は？
KOKUGO_G7_U10	意見文	意見文「校内のスマートフォン利用」の主張は？ || 主張「学習目的と緊急連絡に用途を限定する」の理由は？ || 主張「学習目的と緊急連絡に用途を限定する」の根拠は？ || 主張「学習目的と緊急連絡に用途を限定する」への反対意見は？ || 反対意見「用途の判定が難しい」への応答は？
KOKUGO_G7_U11	スピーチ	スピーチ「中学校で学んだ対話」の導入は？ || スピーチ「中学校で学んだ対話」の中心は？ || 中心「対話では反論より先に理解が必要」を支える経験は？ || スピーチ「中学校で学んだ対話」に合う資料・話し方は？ || スピーチ「中学校で学んだ対話」の結びは？
KOKUGO_G7_U12	話し合い	話し合い「校内のスマートフォン利用」の提案は？ || 提案「学習目的と緊急連絡に用途を限定する」を支える事実は？ || 提案「学習目的と緊急連絡に用途を限定する」への懸念は？ || 懸念「用途の判定が難しい」をふまえた改善は？ || 話し合い「校内のスマートフォン利用」で合意へ近づくために必要なことは？
KOKUGO_G8_U01	物語文の読み取り	小説「雨上がりのベンチ」の中心となる人物関係は？ || 小説「祖父の時計」の中心となる人物関係は？ || 小説「最後のリレー」の中心となる人物関係は？ || 小説「図書室の窓」の中心となる人物関係は？ || 小説「消えた足跡」の中心となる人物関係は？
KOKUGO_G8_U02	説明文の読み取り	論説「都市の緑」が取り上げる課題は？ || 論説「言葉の変化」が取り上げる課題は？ || 論説「食品ロス」が取り上げる課題は？ || 論説「地域の交通」が取り上げる課題は？ || 論説「睡眠と記憶」が取り上げる課題は？
KOKUGO_G8_U03	詩・短歌・俳句	「春の川ひかりをほどき町へゆく」の形式は？ || 「春の川ひかりをほどき町へゆく」で用いられた表現の工夫は？ || 「春の川ひかりをほどき町へゆく」の表現効果は？ || 「春の川ひかりをほどき町へゆく」が描く情景は？ || 「春の川ひかりをほどき町へゆく」の中心的な思いは？
KOKUGO_G8_U04	古文（物語・随筆）	古文「つれづれなるままに、日暮らし、硯に向かひて。」の現代語訳は？ || 古文「つれづれなるままに、日暮らし、硯に向かひて。」の重要語句は？ || 古文「つれづれなるままに、日暮らし、硯に向かひて。」の表現上の要点は？ || 「つれづれなるままに、日暮らし、硯に向かひて。」の出典は？ || 古文「つれづれなるままに、日暮らし、硯に向かひて。」を味わう読み方は？
KOKUGO_G8_U05	漢文（訓読・故事成語）	漢文「温故而知新」の書き下し文は？ || 漢文「学而時習之」の書き下し文は？ || 漢文「知之為知之」の書き下し文は？ || 漢文「不知為不知」の書き下し文は？ || 漢文「三人行必有我師焉」の書き下し文は？
KOKUGO_G8_U06	文法（品詞・活用）	文「鳥が空を飛ぶ。」の「飛ぶ」の品詞は？ || 文「雨が降らない。」の「降ら」の品詞は？ || 文「本を読むとき、印を付ける。」の「読む」の品詞は？ || 文「早く起きれば間に合う。」の「起きれ」の品詞は？ || 文「静かな海を眺める。」の「静かな」の品詞は？
KOKUGO_G8_U07	漢字の読み書き	「普遍」の読みは？ || 「顕著」の読みは？ || 「抽象」の読みは？ || 「具体」の読みは？ || 「推敲」の読みは？
KOKUGO_G8_U08	要約	文章「都市の緑」の要旨は？ || 文章「言葉の変化」の要旨は？ || 文章「食品ロス」の要旨は？ || 文章「地域の交通」の要旨は？ || 文章「睡眠と記憶」の要旨は？
KOKUGO_G8_U09	意見文	意見文「制服の選択制」の主張は？ || 意見文「地域清掃」の主張は？ || 意見文「紙の使用量」の主張は？ || 意見文「図書館の開館時間」の主張は？ || 意見文「スマートフォン」の主張は？
KOKUGO_G8_U10	発表	発表「地域の防災」の導入として適切なのは？ || 発表「方言の魅力」の導入として適切なのは？ || 発表「食品ロス調査」の導入として適切なのは？ || 発表「読書の効用」の導入として適切なのは？ || 発表「商店街の歴史」の導入として適切なのは？
KOKUGO_G8_U11	討論	討論「制服の選択制」で提案側が示す主張は？ || 討論「地域清掃」で提案側が示す主張は？ || 討論「紙の使用量」で提案側が示す主張は？ || 討論「図書館の開館時間」で提案側が示す主張は？ || 討論「スマートフォン」で提案側が示す主張は？
KOKUGO_G9_U01	物語文の読み取り	小説「橋の向こう」の語り手は？ || 小説「無音の拍手」の語り手は？ || 小説「青い封筒」の語り手は？ || 小説「冬の標本室」の語り手は？ || 小説「名前のない写真」の語り手は？
KOKUGO_G9_U02	説明文の読み取り	論説「効率と余白」が批判的に検討する課題は？ || 論説「データと判断」が批判的に検討する課題は？ || 論説「翻訳するということ」が批判的に検討する課題は？ || 論説「都市と記憶」が批判的に検討する課題は？ || 論説「専門家と市民」が批判的に検討する課題は？
KOKUGO_G9_U03	詩・短歌・俳句	詩歌「雲の峰一人の家を一人発ち」の形式は？ || 詩歌「雲の峰一人の家を一人発ち」の表現技法は？ || 詩歌「雲の峰一人の家を一人発ち」の表現効果は？ || 詩歌「雲の峰一人の家を一人発ち」が描く状況は？ || 詩歌「雲の峰一人の家を一人発ち」の主題は？
KOKUGO_G9_U04	古文（古典文学）	古文「行く河の流れは絶えずして、しかももとの水にあらず。」の現代語訳は？ || 古文「行く河の流れは絶えずして、しかももとの水にあらず。」の重要語句は？ || 古文「行く河の流れは絶えずして、しかももとの水にあらず。」の表現上の特徴は？ || 古文「行く河の流れは絶えずして、しかももとの水にあらず。」を理解する時代背景は？ || 古文「行く河の流れは絶えずして、しかももとの水にあらず。」の出典は？
KOKUGO_G9_U05	漢文（名文・思想）	漢文「故天将降大任於是人也」の書き下し文は？ || 漢文「必先苦其心志」の書き下し文は？ || 漢文「天時不如地利」の書き下し文は？ || 漢文「地利不如人和」の書き下し文は？ || 漢文「先天下之憂而憂」の書き下し文は？
KOKUGO_G9_U06	文法（文の構造）	文「私は、妹が昨日借りた本を読んだ。」の「妹が昨日借りた」の働きは？ || 文「雨がやんだので、試合を再開した。」の「雨がやんだので」の働きは？ || 文「彼は笑いながら、静かに首を振った。」の「笑いながら」の働きは？ || 文「先生が紹介した作家の新作を買った。」の「先生が紹介した」の働きは？ || 文「計画は変更されたが、目的は変わらない。」の「変更されたが」の働きは？
KOKUGO_G9_U07	漢字の読み書き	「俯瞰」の読みは？ || 「示唆」の読みは？ || 「看過」の読みは？ || 「享受」の読みは？ || 「踏襲」の読みは？
KOKUGO_G9_U08	要約	論説「効率と余白」の要旨は？ || 論説「データと判断」の要旨は？ || 論説「翻訳するということ」の要旨は？ || 論説「都市と記憶」の要旨は？ || 論説「専門家と市民」の要旨は？
KOKUGO_G9_U09	論説文を書く	論説文「生成AIの学校利用」の主張は？ || 論説文「文化財の公開」の主張は？ || 論説文「校則の見直し」の主張は？ || 論説文「匿名表現」の主張は？ || 論説文「地域の防災計画」の主張は？
KOKUGO_G9_U10	スピーチ	スピーチ「選択する責任」が想定する聞き手は？ || スピーチ「記憶をつなぐ」が想定する聞き手は？ || スピーチ「失敗を語る」が想定する聞き手は？ || スピーチ「言葉の境界」が想定する聞き手は？ || スピーチ「数字の読み方」が想定する聞き手は？
KOKUGO_G9_U11	討論	討論「生成AIの学校利用」の提案は？ || 討論「文化財の公開」の提案は？ || 討論「校則の見直し」の提案は？ || 討論「匿名表現」の提案は？ || 討論「地域の防災計画」の提案は？
KOKUGO_G9_U12	卒業論文・発表	研究「通学路の安全」の問いは？ || 研究「地域の方言」の問いは？ || 研究「学校図書館」の問いは？ || 研究「川の水質」の問いは？ || 研究「商店街の変化」の問いは？
